,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
11,12,0.065987285,1.1.1.1,Target,TCP,60,443  >  50994 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,5.259200000000408e-05,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,250,134,54,1330,54,1514,60,571,54,True,True,True,False,True,False,False,True,True,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05,0.00022995399999999055,4.1870000000013285e-05,0.033525971999999994,0.00014361000000000235,0.0003481899999999982,5.315000000000181e-05
12,13,0.066031054,1.1.1.1,Target,TCP,60,443  >  50994 [ACK] Seq=2737 Ack=794 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,794,65535,0,4.376899999999906e-05,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,60,250,134,54,1330,54,1514,60,571,False,True,True,True,False,True,False,False,True,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05,0.00022995399999999055,4.1870000000013285e-05,0.033525971999999994,0.00014361000000000235,0.0003481899999999982
13,14,0.11704304900000001,1.1.1.1,Target,TLSv1.3,1102,"Application Data, Application Data",False,,,Exfiltration,5,"Application Data, Application Data",,,,,,0.051011995000000004,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,60,250,134,54,1330,54,1514,60,False,False,True,True,True,False,True,False,False,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05,0.00022995399999999055,4.1870000000013285e-05,0.033525971999999994,0.00014361000000000235
14,15,0.11727609900000001,1.1.1.1,Target,TCP,60,"443  >  50994 [FIN, ACK] Seq=3785 Ack=794 Win=65535 Len=0",False,,,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3785,794,65535,0,0.00023304999999999854,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1102,60,60,250,134,54,1330,54,1514,False,False,False,True,True,True,False,True,False,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05,0.00022995399999999055,4.1870000000013285e-05,0.033525971999999994
15,16,0.117637887,Target,1.1.1.1,TCP,54,"50994  >  443 [FIN, ACK] Seq=794 Ack=3786 Win=36920 Len=0",True,Linux,Python,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",794,3786,36920,0,0.0003617879999999879,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,60,1102,60,60,250,134,54,1330,54,False,False,False,False,True,True,True,False,True,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05,0.00022995399999999055,4.1870000000013285e-05
16,17,0.117755159,1.1.1.1,Target,TCP,60,443  >  50994 [ACK] Seq=3786 Ack=795 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3786,795,65535,0,0.0001172720000000016,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,54,60,1102,60,60,250,134,54,1330,True,False,False,False,False,True,True,True,False,0.0003617879999999879,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05,0.00022995399999999055
17,18,22.160499347,Target,1.1.1.1,TCP,74,50996  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405129861 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,5,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,22.042744187999997,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,60,54,60,1102,60,60,250,134,54,False,True,False,False,False,False,True,True,True,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928,2.681000000000211e-05
18,19,22.191556063,1.1.1.1,Target,TCP,60,"443  >  50996 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,5,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.031056716000001927,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,74,60,54,60,1102,60,60,250,134,True,False,True,False,False,False,False,True,True,22.042744187999997,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05,0.0004774189999999928
19,20,22.191603663000002,Target,1.1.1.1,TCP,54,50996  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.7600000002034903e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,60,74,60,54,60,1102,60,60,250,False,True,False,True,False,False,False,False,True,0.031056716000001927,22.042744187999997,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05,9.988000000001052e-05
20,21,22.191899886999998,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,5,Client Hello,,,,,,0.0002962239999959593,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,54,60,74,60,54,60,1102,60,60,True,False,True,False,True,False,False,False,False,4.7600000002034903e-05,0.031056716000001927,22.042744187999997,0.0001172720000000016,0.0003617879999999879,0.00023304999999999854,0.051011995000000004,4.376899999999906e-05,5.259200000000408e-05
