,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
306,321,645.75431674,Target,1.1.1.1,TCP,74,51030  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405753455 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,5,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,10.010164022000026,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,60,54,60,1108,60,60,253,134,54,False,True,False,False,False,False,True,True,True,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037,0.05023226099990552,0.00011775000007219205,7.060899997668457e-05,9.082999997644947e-05,0.0005422950000593119,2.403999997113715e-05
307,322,645.785305201,1.1.1.1,Target,TCP,60,"443  >  51030 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,5,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.03098846099999264,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,74,60,54,60,1108,60,60,253,134,True,False,True,False,False,False,False,True,True,10.010164022000026,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037,0.05023226099990552,0.00011775000007219205,7.060899997668457e-05,9.082999997644947e-05,0.0005422950000593119
308,323,645.785352401,Target,1.1.1.1,TCP,54,51030  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.719999992630619e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,60,74,60,54,60,1108,60,60,253,False,True,False,True,False,False,False,False,True,0.03098846099999264,10.010164022000026,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037,0.05023226099990552,0.00011775000007219205,7.060899997668457e-05,9.082999997644947e-05
309,324,645.785694439,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,5,Client Hello,,,,,,0.00034203800009890983,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,54,60,74,60,54,60,1108,60,60,True,False,True,False,True,False,False,False,False,4.719999992630619e-05,0.03098846099999264,10.010164022000026,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037,0.05023226099990552,0.00011775000007219205,7.060899997668457e-05
310,325,645.78579745,1.1.1.1,Target,TCP,60,443  >  51030 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.0001030109999646811,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1108,60,True,True,False,True,False,True,False,False,False,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264,10.010164022000026,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037,0.05023226099990552,0.00011775000007219205
311,326,645.8194193319999,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,5,"Server Hello, Change Cipher Spec",,,,,,0.03362188199992033,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1108,False,True,True,False,True,False,True,False,False,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264,10.010164022000026,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037,0.05023226099990552
312,327,645.8194412619999,Target,1.1.1.1,TCP,54,51030  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.193000000261236e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.03362188199992033,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264,10.010164022000026,0.00011196000002655637,0.00026756900001601025,0.00017547499999182037
313,328,645.8196579319999,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,5,Application Data,,,,,,0.0002166699999861521,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264,10.010164022000026,0.00011196000002655637,0.00026756900001601025
314,329,645.819664622,Target,1.1.1.1,TCP,54,51030  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,6.690000077469449e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264,10.010164022000026,0.00011196000002655637
315,330,645.820102227,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,5,"Change Cipher Spec, Application Data",,,,,,0.00043760500000189495,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264,10.010164022000026
316,331,645.820222696,1.1.1.1,Target,TCP,60,443  >  51030 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,0.00012046899996676075,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05,0.03098846099999264
317,332,645.820239326,Target,1.1.1.1,TLSv1.3,253,Application Data,True,Linux,Python,Exfiltration,5,Application Data,,,,,,1.663000000462489e-05,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1330,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811,0.00034203800009890983,4.719999992630619e-05
318,333,645.820315976,1.1.1.1,Target,TCP,60,443  >  51030 [ACK] Seq=2737 Ack=797 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,797,65535,0,7.664999998269195e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,253,60,134,54,1330,54,1514,60,571,True,False,True,True,False,True,False,False,True,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811,0.00034203800009890983
319,334,645.871772931,1.1.1.1,Target,TLSv1.3,1108,"Application Data, Application Data",False,,,Exfiltration,5,"Application Data, Application Data",,,,,,0.051456955000048765,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,253,60,134,54,1330,54,1514,60,False,True,False,True,True,False,True,False,False,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033,0.0001030109999646811
320,335,645.871959991,1.1.1.1,Target,TCP,60,"443  >  51030 [FIN, ACK] Seq=3791 Ack=797 Win=65535 Len=0",False,,,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3791,797,65535,0,0.00018706000003021472,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1108,60,253,60,134,54,1330,54,1514,False,False,True,False,True,True,False,True,False,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05,0.03362188199992033
321,336,645.872269361,Target,1.1.1.1,TCP,54,"51030  >  443 [FIN, ACK] Seq=797 Ack=3792 Win=36920 Len=0",True,Linux,Python,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",797,3792,36920,0,0.0003093699999681121,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,1108,60,253,60,134,54,1330,54,False,False,False,True,False,True,True,False,True,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521,2.193000000261236e-05
322,337,645.87238463,1.1.1.1,Target,TCP,60,443  >  51030 [ACK] Seq=3792 Ack=798 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3792,798,65535,0,0.00011526900004810159,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,54,60,1108,60,253,60,134,54,1330,True,False,False,False,True,False,True,True,False,0.0003093699999681121,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06,0.0002166699999861521
323,338,655.883975621,Target,1.1.1.1,TCP,74,51032  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405763584 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,5,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,10.011590990999935,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,54,60,1108,60,253,60,134,54,False,True,False,False,False,True,False,True,True,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495,6.690000077469449e-06
324,339,655.9223636869999,1.1.1.1,Target,TCP,60,"443  >  51032 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,5,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.03838806599992495,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,74,60,54,60,1108,60,253,60,134,True,False,True,False,False,False,True,False,True,10.011590990999935,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075,0.00043760500000189495
325,340,655.922426577,Target,1.1.1.1,TCP,54,51032  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,6.289000009473966e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1108,60,253,60,False,True,False,True,False,False,False,True,False,0.03838806599992495,10.011590990999935,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05,0.00012046899996676075
326,341,655.922959212,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,5,Client Hello,,,,,,0.0005326350000132152,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1108,60,253,True,False,True,False,True,False,False,False,True,6.289000009473966e-05,0.03838806599992495,10.011590990999935,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05,1.663000000462489e-05
327,342,655.923118835,1.1.1.1,Target,TCP,60,443  >  51032 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00015962299994498608,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1108,60,True,True,False,True,False,True,False,False,False,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495,10.011590990999935,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472,0.051456955000048765,7.664999998269195e-05
328,343,655.964633626,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,5,"Server Hello, Change Cipher Spec",,,,,,0.041514791000054174,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1108,False,True,True,False,True,False,True,False,False,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495,10.011590990999935,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472,0.051456955000048765
329,344,655.9646626059999,Target,1.1.1.1,TCP,54,51032  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.8979999910916376e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.041514791000054174,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495,10.011590990999935,0.00011526900004810159,0.0003093699999681121,0.00018706000003021472
330,345,655.9649543969999,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,5,Application Data,,,,,,0.0002917909999951007,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495,10.011590990999935,0.00011526900004810159,0.0003093699999681121
331,346,655.9649601469999,Target,1.1.1.1,TCP,54,51032  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,5.750000013904355e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495,10.011590990999935,0.00011526900004810159
332,347,655.965358135,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,5,"Change Cipher Spec, Application Data",,,,,,0.0003979880000315461,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495,10.011590990999935
333,348,655.965478167,1.1.1.1,Target,TCP,60,443  >  51032 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,0.00012003200004073733,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05,0.03838806599992495
334,349,655.965505797,Target,1.1.1.1,TLSv1.3,251,Application Data,True,Linux,Python,Exfiltration,5,Application Data,,,,,,2.762999997685256e-05,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1330,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608,0.0005326350000132152,6.289000009473966e-05
335,350,655.965642057,1.1.1.1,Target,TCP,60,443  >  51032 [ACK] Seq=2737 Ack=795 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,795,65535,0,0.00013625999997657345,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,251,60,134,54,1330,54,1514,60,571,True,False,True,True,False,True,False,False,True,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608,0.0005326350000132152
336,351,656.023465982,1.1.1.1,Target,TLSv1.3,1104,"Application Data, Application Data",False,,,Exfiltration,5,"Application Data, Application Data",,,,,,0.05782392499997968,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,251,60,134,54,1330,54,1514,60,False,True,False,True,True,False,True,False,False,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174,0.00015962299994498608
337,352,656.023627507,1.1.1.1,Target,TCP,60,"443  >  51032 [FIN, ACK] Seq=3787 Ack=795 Win=65535 Len=0",False,,,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3787,795,65535,0,0.00016152500006683113,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1104,60,251,60,134,54,1330,54,1514,False,False,True,False,True,True,False,True,False,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05,0.041514791000054174
338,353,656.023976586,Target,1.1.1.1,TCP,54,"51032  >  443 [FIN, ACK] Seq=795 Ack=3788 Win=36920 Len=0",True,Linux,Python,Exfiltration,5,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",795,3788,36920,0,0.0003490789999887056,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,1104,60,251,60,134,54,1330,54,False,False,False,True,False,True,True,False,True,0.00016152500006683113,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007,2.8979999910916376e-05
339,354,656.024102726,1.1.1.1,Target,TCP,60,443  >  51032 [ACK] Seq=3788 Ack=796 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3788,796,65535,0,0.0001261400000203139,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,54,60,1104,60,251,60,134,54,1330,True,False,False,False,True,False,True,True,False,0.0003490789999887056,0.00016152500006683113,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06,0.0002917909999951007
340,357,705.03999466,Target,1.1.1.1,TCP,74,51034  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1405812740 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,5,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,49.015891934000024,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,54,60,1104,60,251,60,134,54,False,True,False,False,False,True,False,True,True,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461,5.750000013904355e-06
341,358,705.076036395,1.1.1.1,Target,TCP,60,"443  >  51034 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,5,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.03604173499991248,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,74,60,54,60,1104,60,251,60,134,True,False,True,False,False,False,True,False,True,49.015891934000024,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733,0.0003979880000315461
342,359,705.076084065,Target,1.1.1.1,TCP,54,51034  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.7670000071775576e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1104,60,251,60,False,True,False,True,False,False,False,True,False,0.03604173499991248,49.015891934000024,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05,0.00012003200004073733
343,360,705.076410015,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,5,Client Hello,,,,,,0.00032594999993307283,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1104,60,251,True,False,True,False,True,False,False,False,True,4.7670000071775576e-05,0.03604173499991248,49.015891934000024,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113,0.05782392499997968,0.00013625999997657345,2.762999997685256e-05
344,361,705.07653066,1.1.1.1,Target,TCP,60,443  >  51034 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00012064500003816647,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1104,60,True,True,False,True,False,True,False,False,False,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248,49.015891934000024,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113,0.05782392499997968,0.00013625999997657345
345,362,705.1145558989999,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,5,"Server Hello, Change Cipher Spec",,,,,,0.038025238999921385,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1104,False,True,True,False,True,False,True,False,False,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248,49.015891934000024,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113,0.05782392499997968
346,363,705.1145789789999,Target,1.1.1.1,TCP,54,51034  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.308000000539323e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.038025238999921385,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248,49.015891934000024,0.0001261400000203139,0.0003490789999887056,0.00016152500006683113
347,364,705.1147787739999,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,5,Application Data,,,,,,0.0001997949999577031,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.308000000539323e-05,0.038025238999921385,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248,49.015891934000024,0.0001261400000203139,0.0003490789999887056
348,365,705.1147864139999,Target,1.1.1.1,TCP,54,51034  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,7.640000035280536e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.0001997949999577031,2.308000000539323e-05,0.038025238999921385,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248,49.015891934000024,0.0001261400000203139
349,366,705.115277618,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,5,"Change Cipher Spec, Application Data",,,,,,0.0004912040001272544,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,7.640000035280536e-06,0.0001997949999577031,2.308000000539323e-05,0.038025238999921385,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248,49.015891934000024
350,367,705.1153795580001,Target,1.1.1.1,TLSv1.3,253,Application Data,True,Linux,Python,Exfiltration,5,Application Data,,,,,,0.00010194000003593828,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0004912040001272544,7.640000035280536e-06,0.0001997949999577031,2.308000000539323e-05,0.038025238999921385,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05,0.03604173499991248
351,368,705.115385188,1.1.1.1,Target,TCP,60,443  >  51034 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,5,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,5.629999918710382e-06,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,253,134,54,1330,54,1514,60,571,54,True,True,True,False,True,False,False,True,True,0.00010194000003593828,0.0004912040001272544,7.640000035280536e-06,0.0001997949999577031,2.308000000539323e-05,0.038025238999921385,0.00012064500003816647,0.00032594999993307283,4.7670000071775576e-05
