,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
11,12,0.075718859,Target,1.1.1.1,TLSv1.3,279,Application Data,True,Linux,Python,Exfiltration,3,Application Data,,,,,,6.596999999999853e-05,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1329,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115,3.775000000000306e-05
12,13,0.075812419,1.1.1.1,Target,TCP,60,443  >  50378 [ACK] Seq=2736 Ack=823 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2736,823,65535,0,9.356000000000642e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,279,60,134,54,1329,54,1514,60,571,True,False,True,True,False,True,False,False,True,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993,0.00035500000000000115
13,14,0.1320366,1.1.1.1,Target,TLSv1.3,1160,"Application Data, Application Data",False,,,Exfiltration,3,"Application Data, Application Data",,,,,,0.056224181,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,279,60,134,54,1329,54,1514,60,False,True,False,True,True,False,True,False,False,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001,0.0001830589999999993
14,15,0.13222563,1.1.1.1,Target,TCP,60,"443  >  50378 [FIN, ACK] Seq=3842 Ack=823 Win=65535 Len=0",False,,,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3842,823,65535,0,0.0001890300000000067,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1160,60,279,60,134,54,1329,54,1514,False,False,True,False,True,True,False,True,False,0.056224181,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05,0.03786955400000001
15,16,0.132612139,Target,1.1.1.1,TCP,54,"50378  >  443 [FIN, ACK] Seq=823 Ack=3843 Win=36920 Len=0",True,Linux,Python,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",823,3843,36920,0,0.00038650899999997934,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,1160,60,279,60,134,54,1329,54,False,False,False,True,False,True,True,False,True,0.0001890300000000067,0.056224181,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967,1.9069999999996035e-05
16,17,0.132705429,1.1.1.1,Target,TCP,60,443  >  50378 [ACK] Seq=3843 Ack=824 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3843,824,65535,0,9.329000000002363e-05,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,54,60,1160,60,279,60,134,54,1329,True,False,False,False,True,False,True,True,False,0.00038650899999997934,0.0001890300000000067,0.056224181,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06,0.0002012299999999967
17,18,0.133166619,Target,1.1.1.1,TCP,74,50380  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403845928 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,3,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,0.0004611900000000002,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,54,60,1160,60,279,60,134,54,False,True,False,False,False,True,False,True,True,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067,0.056224181,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961,6.060000000002175e-06
18,19,0.168540715,1.1.1.1,Target,TCP,60,"443  >  50380 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,3,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.035374095999999994,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,74,60,54,60,1160,60,279,60,134,True,False,True,False,False,False,True,False,True,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067,0.056224181,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05,0.0004995599999999961
19,20,0.168612034,Target,1.1.1.1,TCP,54,50380  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,7.131899999998637e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1160,60,279,60,False,True,False,True,False,False,False,True,False,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067,0.056224181,9.356000000000642e-05,6.596999999999853e-05,8.574000000000082e-05
20,21,0.16909275399999998,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,3,Client Hello,,,,,,0.00048071999999999004,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1160,60,279,True,False,True,False,True,False,False,False,True,7.131899999998637e-05,0.035374095999999994,0.0004611900000000002,9.329000000002363e-05,0.00038650899999997934,0.0001890300000000067,0.056224181,9.356000000000642e-05,6.596999999999853e-05
