,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
598,599,4.465075626,Target,1.1.1.1,TCP,54,50448  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,6.44099999993486e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1160,60,279,60,False,True,False,True,False,False,False,True,False,0.02761386200000082,0.0005012190000002192,0.00013292999999947597,0.00040226100000051446,2.9220000000051982e-05,0.06577842299999936,6.597999999957693e-05,8.680000000538257e-06,9.298999999973745e-05
599,600,4.465531704,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,3,Client Hello,,,,,,0.0004560780000000264,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1160,60,279,True,False,True,False,True,False,False,False,True,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192,0.00013292999999947597,0.00040226100000051446,2.9220000000051982e-05,0.06577842299999936,6.597999999957693e-05,8.680000000538257e-06
600,601,4.465674916,1.1.1.1,Target,TCP,60,443  >  50448 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00014321200000022571,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1160,60,True,True,False,True,False,True,False,False,False,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192,0.00013292999999947597,0.00040226100000051446,2.9220000000051982e-05,0.06577842299999936,6.597999999957693e-05
601,602,4.495790645,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,3,"Server Hello, Change Cipher Spec",,,,,,0.03011572899999937,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1160,False,True,True,False,True,False,True,False,False,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192,0.00013292999999947597,0.00040226100000051446,2.9220000000051982e-05,0.06577842299999936
602,603,4.495814875,Target,1.1.1.1,TCP,54,50448  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.4230000000180496e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.03011572899999937,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192,0.00013292999999947597,0.00040226100000051446,2.9220000000051982e-05
603,604,4.4959883,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,3,Application Data,,,,,,0.0001734249999998383,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192,0.00013292999999947597,0.00040226100000051446
604,605,4.49604527,Target,1.1.1.1,TCP,54,50448  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,5.697000000015606e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192,0.00013292999999947597
605,606,4.496561364,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,3,"Change Cipher Spec, Application Data",,,,,,0.000516093999999967,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082,0.0005012190000002192
606,607,4.496664274,Target,1.1.1.1,TLSv1.3,279,Application Data,True,Linux,Python,Exfiltration,3,Application Data,,,,,,0.00010290999999984507,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05,0.02761386200000082
607,608,4.4966848189999995,1.1.1.1,Target,TCP,60,443  >  50448 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,2.0544999999927427e-05,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,279,134,54,1330,54,1514,60,571,54,True,True,True,False,True,False,False,True,True,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571,0.0004560780000000264,6.44099999993486e-05
608,609,4.496805118999999,1.1.1.1,Target,TCP,60,443  >  50448 [ACK] Seq=2737 Ack=823 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,823,65535,0,0.00012029999999985108,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,60,279,134,54,1330,54,1514,60,571,False,True,True,True,False,True,False,False,True,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571,0.0004560780000000264
609,610,4.545210636,1.1.1.1,Target,TLSv1.3,1160,"Application Data, Application Data",False,,,Exfiltration,3,"Application Data, Application Data",,,,,,0.04840551700000084,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,60,279,134,54,1330,54,1514,60,False,False,True,True,True,False,True,False,False,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937,0.00014321200000022571
610,611,4.54535627,1.1.1.1,Target,TCP,60,"443  >  50448 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0",False,,,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3843,823,65535,0,0.00014563399999989457,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1160,60,60,279,134,54,1330,54,1514,False,False,False,True,True,True,False,True,False,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05,0.03011572899999937
611,612,4.5456478,Target,1.1.1.1,TCP,54,"50448  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0",True,Linux,Python,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",823,3844,36920,0,0.00029153000000015084,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,60,1160,60,60,279,134,54,1330,54,False,False,False,False,True,True,True,False,True,0.00014563399999989457,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383,2.4230000000180496e-05
612,613,4.54575887,1.1.1.1,Target,TCP,60,443  >  50448 [ACK] Seq=3844 Ack=824 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3844,824,65535,0,0.0001110699999999909,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,54,60,1160,60,60,279,134,54,1330,True,False,False,False,False,True,True,True,False,0.00029153000000015084,0.00014563399999989457,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05,0.0001734249999998383
613,614,4.54615076,Target,1.1.1.1,TCP,74,50450  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403850341 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,3,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,0.00039188999999950624,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,60,54,60,1160,60,60,279,134,54,False,True,False,False,False,False,True,True,True,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967,5.697000000015606e-05
614,615,4.580978871,1.1.1.1,Target,TCP,60,"443  >  50450 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,3,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.034828111000000384,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,74,60,54,60,1160,60,60,279,134,True,False,True,False,False,False,False,True,True,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507,0.000516093999999967
615,616,4.581116251,Target,1.1.1.1,TCP,54,50450  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,0.00013737999999996475,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,60,74,60,54,60,1160,60,60,279,False,True,False,True,False,False,False,False,True,0.034828111000000384,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05,0.00010290999999984507
616,617,4.581434646,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,3,Client Hello,,,,,,0.0003183949999998603,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,54,60,74,60,54,60,1160,60,60,True,False,True,False,True,False,False,False,False,0.00013737999999996475,0.034828111000000384,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457,0.04840551700000084,0.00012029999999985108,2.0544999999927427e-05
617,618,4.581556741,1.1.1.1,Target,TCP,60,443  >  50450 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00012209500000004425,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1160,60,True,True,False,True,False,True,False,False,False,0.0003183949999998603,0.00013737999999996475,0.034828111000000384,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457,0.04840551700000084,0.00012029999999985108
618,619,4.619641624,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,3,"Server Hello, Change Cipher Spec",,,,,,0.03808488299999979,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1160,False,True,True,False,True,False,True,False,False,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475,0.034828111000000384,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457,0.04840551700000084
619,620,4.619688394,Target,1.1.1.1,TCP,54,50450  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,4.676999999997378e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.03808488299999979,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475,0.034828111000000384,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084,0.00014563399999989457
620,621,4.619898163999999,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,3,Application Data,,,,,,0.00020976999999966495,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475,0.034828111000000384,0.00039188999999950624,0.0001110699999999909,0.00029153000000015084
621,622,4.619906014,Target,1.1.1.1,TCP,54,50450  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,7.850000000253488e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475,0.034828111000000384,0.00039188999999950624,0.0001110699999999909
622,623,4.620763108,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,3,"Change Cipher Spec, Application Data",,,,,,0.0008570940000005578,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475,0.034828111000000384,0.00039188999999950624
623,624,4.620873438,Target,1.1.1.1,TLSv1.3,279,Application Data,True,Linux,Python,Exfiltration,3,Application Data,,,,,,0.00011033000000004733,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475,0.034828111000000384
624,625,4.620886174,1.1.1.1,Target,TCP,60,443  >  50450 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,1.2735999999513581e-05,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,279,134,54,1330,54,1514,60,571,54,True,True,True,False,True,False,False,True,True,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425,0.0003183949999998603,0.00013737999999996475
625,626,4.620974503999999,1.1.1.1,Target,TCP,60,443  >  50450 [ACK] Seq=2737 Ack=823 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,823,65535,0,8.832999999963675e-05,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,60,279,134,54,1330,54,1514,60,571,False,True,True,True,False,True,False,False,True,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425,0.0003183949999998603
626,627,4.675914146,1.1.1.1,Target,TLSv1.3,1160,"Application Data, Application Data",False,,,Exfiltration,3,"Application Data, Application Data",,,,,,0.05493964200000079,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,60,279,134,54,1330,54,1514,60,False,False,True,True,True,False,True,False,False,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979,0.00012209500000004425
627,628,4.6761826,1.1.1.1,Target,TCP,60,"443  >  50450 [FIN, ACK] Seq=3843 Ack=823 Win=65535 Len=0",False,,,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3843,823,65535,0,0.00026845399999952946,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1160,60,60,279,134,54,1330,54,1514,False,False,False,True,True,True,False,True,False,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05,0.03808488299999979
628,629,4.6764056,Target,1.1.1.1,TCP,54,"50450  >  443 [FIN, ACK] Seq=823 Ack=3844 Win=36920 Len=0",True,Linux,Python,Exfiltration,3,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",823,3844,36920,0,0.00022300000000008424,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,60,1160,60,60,279,134,54,1330,54,False,False,False,False,True,True,True,False,True,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495,4.676999999997378e-05
629,630,4.676536465,1.1.1.1,Target,TCP,60,443  >  50450 [ACK] Seq=3844 Ack=824 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3844,824,65535,0,0.00013086500000003554,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,54,60,1160,60,60,279,134,54,1330,True,False,False,False,False,True,True,True,False,0.00022300000000008424,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06,0.00020976999999966495
630,631,4.6769446,Target,1.1.1.1,TCP,74,50452  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403850471 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,3,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,0.0004081349999998096,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,TCP,60,54,60,1160,60,60,279,134,54,False,True,False,False,False,False,True,True,True,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578,7.850000000253488e-06
631,632,4.708367688,1.1.1.1,Target,TCP,60,"443  >  50452 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,3,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.031423088000000376,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,TLSv1.3,74,60,54,60,1160,60,60,279,134,True,False,True,False,False,False,False,True,True,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733,0.0008570940000005578
632,633,4.708430628,Target,1.1.1.1,TCP,54,50452  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,6.294000000028888e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,TLSv1.3,60,74,60,54,60,1160,60,60,279,False,True,False,True,False,False,False,False,True,0.031423088000000376,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05,0.00011033000000004733
633,634,4.708926737,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,3,Client Hello,,,,,,0.0004961089999993007,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TCP,54,60,74,60,54,60,1160,60,60,True,False,True,False,True,False,False,False,False,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05,1.2735999999513581e-05
634,635,4.709139787,1.1.1.1,Target,TCP,60,443  >  50452 [ACK] Seq=1 Ack=518 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,518,65535,0,0.00021305000000015895,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,571,54,60,74,60,54,60,1160,60,True,True,False,True,False,True,False,False,False,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946,0.05493964200000079,8.832999999963675e-05
635,636,4.742621134,1.1.1.1,Target,TLSv1.3,1514,"Server Hello, Change Cipher Spec",False,,,Exfiltration,3,"Server Hello, Change Cipher Spec",,,,,,0.03348134700000038,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,60,571,54,60,74,60,54,60,1160,False,True,True,False,True,False,True,False,False,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946,0.05493964200000079
636,637,4.742650384,Target,1.1.1.1,TCP,54,50452  >  443 [ACK] Seq=518 Ack=1461 Win=31240 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,1461,31240,0,2.9249999999869658e-05,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,TCP,1514,60,571,54,60,74,60,54,60,False,False,True,True,False,True,False,True,False,0.03348134700000038,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424,0.00026845399999952946
637,638,4.742826003,1.1.1.1,Target,TLSv1.3,1330,Application Data,False,,,Exfiltration,3,Application Data,,,,,,0.00017561900000018227,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,TCP,54,1514,60,571,54,60,74,60,54,True,False,False,True,True,False,True,False,True,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096,0.00013086500000003554,0.00022300000000008424
638,639,4.742833973,Target,1.1.1.1,TCP,54,50452  >  443 [ACK] Seq=518 Ack=2737 Win=34080 Len=0,True,Linux,Python,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],518,2737,34080,0,7.969999999524191e-06,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,TCP,1330,54,1514,60,571,54,60,74,60,False,True,False,False,True,True,False,True,False,0.00017561900000018227,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096,0.00013086500000003554
639,640,4.743480462,Target,1.1.1.1,TLSv1.3,134,"Change Cipher Spec, Application Data",True,Linux,Python,Exfiltration,3,"Change Cipher Spec, Application Data",,,,,,0.0006464890000001944,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,TCP,54,1330,54,1514,60,571,54,60,74,True,False,True,False,False,True,True,False,True,7.969999999524191e-06,0.00017561900000018227,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376,0.0004081349999998096
640,641,4.743584922,Target,1.1.1.1,TLSv1.3,279,Application Data,True,Linux,Python,Exfiltration,3,Application Data,,,,,,0.00010446000000019495,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TCP,134,54,1330,54,1514,60,571,54,60,True,True,False,True,False,False,True,True,False,0.0006464890000001944,7.969999999524191e-06,0.00017561900000018227,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05,0.031423088000000376
641,642,4.743616633,1.1.1.1,Target,TCP,60,443  >  50452 [ACK] Seq=2737 Ack=598 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,598,65535,0,3.171100000010085e-05,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,279,134,54,1330,54,1514,60,571,54,True,True,True,False,True,False,False,True,True,0.00010446000000019495,0.0006464890000001944,7.969999999524191e-06,0.00017561900000018227,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895,0.0004961089999993007,6.294000000028888e-05
642,643,4.743670273,1.1.1.1,Target,TCP,60,443  >  50452 [ACK] Seq=2737 Ack=823 Win=65535 Len=0,False,,,Exfiltration,3,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2737,823,65535,0,5.363999999996594e-05,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,60,279,134,54,1330,54,1514,60,571,False,True,True,True,False,True,False,False,True,3.171100000010085e-05,0.00010446000000019495,0.0006464890000001944,7.969999999524191e-06,0.00017561900000018227,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895,0.0004961089999993007
643,644,4.795193608,1.1.1.1,Target,TLSv1.3,1160,"Application Data, Application Data",False,,,Exfiltration,3,"Application Data, Application Data",,,,,,0.051523334999999726,TCP,TCP,TLSv1.3,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,60,279,134,54,1330,54,1514,60,False,False,True,True,True,False,True,False,False,5.363999999996594e-05,3.171100000010085e-05,0.00010446000000019495,0.0006464890000001944,7.969999999524191e-06,0.00017561900000018227,2.9249999999869658e-05,0.03348134700000038,0.00021305000000015895
