,No.,Time,Source,Destination,Protocol,Length,Info,From_Target,OS,Software,Comm_Type,Session,Info_Filtered,Handshake,Seq,Ack,Win,Len,Conversation_dT,Conversation_Protocol_T-1,Conversation_Protocol_T-2,Conversation_Protocol_T-3,Conversation_Protocol_T-4,Conversation_Protocol_T-5,Conversation_Protocol_T-6,Conversation_Protocol_T-7,Conversation_Protocol_T-8,Conversation_Protocol_T-9,Conversation_Length_T-1,Conversation_Length_T-2,Conversation_Length_T-3,Conversation_Length_T-4,Conversation_Length_T-5,Conversation_Length_T-6,Conversation_Length_T-7,Conversation_Length_T-8,Conversation_Length_T-9,Conversation_From_Target_T-1,Conversation_From_Target_T-2,Conversation_From_Target_T-3,Conversation_From_Target_T-4,Conversation_From_Target_T-5,Conversation_From_Target_T-6,Conversation_From_Target_T-7,Conversation_From_Target_T-8,Conversation_From_Target_T-9,Conversation_dT_T-1,Conversation_dT_T-2,Conversation_dT_T-3,Conversation_dT_T-4,Conversation_dT_T-5,Conversation_dT_T-6,Conversation_dT_T-7,Conversation_dT_T-8,Conversation_dT_T-9
11,12,0.07361201099999999,Target,1.1.1.1,TLSv1.3,278,Application Data,True,Linux,Python,Exfiltration,4,Application Data,,,,,,9.039999999987947e-06,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,134,54,1331,54,1514,60,571,54,False,True,True,False,True,False,False,True,True,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06,0.00021017500000000688,2.016999999999991e-05,0.03679943499999999,0.00015384499999999968,0.0005170940000000027,4.9130000000001395e-05
12,13,0.07367653099999999,1.1.1.1,Target,TCP,60,443  >  50622 [ACK] Seq=2738 Ack=822 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],2738,822,65535,0,6.451999999999847e-05,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,278,60,134,54,1331,54,1514,60,571,True,False,True,True,False,True,False,False,True,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06,0.00021017500000000688,2.016999999999991e-05,0.03679943499999999,0.00015384499999999968,0.0005170940000000027
13,14,0.127902509,1.1.1.1,Target,TLSv1.3,1158,"Application Data, Application Data",False,,,Exfiltration,4,"Application Data, Application Data",,,,,,0.05422597800000001,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,278,60,134,54,1331,54,1514,60,False,True,False,True,True,False,True,False,False,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06,0.00021017500000000688,2.016999999999991e-05,0.03679943499999999,0.00015384499999999968
14,15,0.128063824,1.1.1.1,Target,TCP,60,"443  >  50622 [FIN, ACK] Seq=3842 Ack=822 Win=65535 Len=0",False,,,Exfiltration,4,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",3842,822,65535,0,0.0001613149999999952,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,1158,60,278,60,134,54,1331,54,1514,False,False,True,False,True,True,False,True,False,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06,0.00021017500000000688,2.016999999999991e-05,0.03679943499999999
15,16,0.12839831300000001,Target,1.1.1.1,TCP,54,"50622  >  443 [FIN, ACK] Seq=822 Ack=3843 Win=36920 Len=0",True,Linux,Python,Exfiltration,4,"  >   [FIN, ACK] Seq= Ack= Win= Len=","[FIN, ACK]",822,3843,36920,0,0.00033448900000002113,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,1158,60,278,60,134,54,1331,54,False,False,False,True,False,True,True,False,True,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06,0.00021017500000000688,2.016999999999991e-05
16,17,0.128509693,1.1.1.1,Target,TCP,60,443  >  50622 [ACK] Seq=3843 Ack=823 Win=65535 Len=0,False,,,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],3843,823,65535,0,0.00011137999999999426,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,54,60,1158,60,278,60,134,54,1331,True,False,False,False,True,False,True,True,False,0.00033448900000002113,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06,0.00021017500000000688
17,18,2.131840689,Target,1.1.1.1,TCP,74,50624  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1403926955 TSecr=0 WS=1024,True,Linux,Python,Exfiltration,4,  >   [SYN] Seq= Win= Len= MSS= SACK_PERM= TSval= TSecr= WS=,[SYN],0,,29200,0,2.0033309960000003,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,54,60,1158,60,278,60,134,54,False,True,False,False,False,True,False,True,True,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906,7.460000000000799e-06
18,19,2.163015833,1.1.1.1,Target,TCP,60,"443  >  50624 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",False,,,Exfiltration,4,"  >   [SYN, ACK] Seq= Ack= Win= Len= MSS=","[SYN, ACK]",0,1,65535,0,0.0311751440000001,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,TLSv1.3,74,60,54,60,1158,60,278,60,134,True,False,True,False,False,False,True,False,True,2.0033309960000003,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05,0.0004252189999999906
19,20,2.163064353,Target,1.1.1.1,TCP,54,50624  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,True,Linux,Python,Exfiltration,4,  >   [ACK] Seq= Ack= Win= Len=,[ACK],1,1,29200,0,4.8519999999996344e-05,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,TCP,60,74,60,54,60,1158,60,278,60,False,True,False,True,False,False,False,True,False,0.0311751440000001,2.0033309960000003,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06,8.596000000000992e-05
20,21,2.163429667,Target,1.1.1.1,TLSv1.3,571,Client Hello,True,Linux,Python,Exfiltration,4,Client Hello,,,,,,0.0003653139999997279,TCP,TCP,TCP,TCP,TCP,TCP,TLSv1.3,TCP,TLSv1.3,54,60,74,60,54,60,1158,60,278,True,False,True,False,True,False,False,False,True,4.8519999999996344e-05,0.0311751440000001,2.0033309960000003,0.00011137999999999426,0.00033448900000002113,0.0001613149999999952,0.05422597800000001,6.451999999999847e-05,9.039999999987947e-06
